name;source;target;delay;bandwidth;
ATLAM5_ATLAng;ATLAng;ATLAM5;1;100;
ATLAng_HSTNng;HSTNng;ATLAng;1;100;
ATLAng_IPLSng;IPLSng;ATLAng;1;100;
ATLAng_WASHng;WASHng;ATLAng;1;100;
CHINng_IPLSng;IPLSng;CHINng;1;100;
CHINng_NYCMng;NYCMng;CHINng;1;100;
DNVRng_KSCYng;KSCYng;DNVRng;1;100;
DNVRng_SNVAng;SNVAng;DNVRng;1;100;
DNVRng_STTLng;STTLng;DNVRng;1;100;
HSTNng_KSCYng;KSCYng;HSTNng;1;100;
HSTNng_LOSAng;LOSAng;HSTNng;1;100;
IPLSng_KSCYng;KSCYng;IPLSng;1;100;
LOSAng_SNVAng;SNVAng;LOSAng;1;100;
NYCMng_WASHng;WASHng;NYCMng;1;100;
SNVAng_STTLng;STTLng;SNVAng;1;100;
R_ATLAM5_ATLAng;ATLAM5;ATLAng;1;100;
R_ATLAng_HSTNng;ATLAng;HSTNng;1;100;
R_ATLAng_IPLSng;ATLAng;IPLSng;1;100;
R_ATLAng_WASHng;ATLAng;WASHng;1;100;
R_CHINng_IPLSng;CHINng;IPLSng;1;100;
R_CHINng_NYCMng;CHINng;NYCMng;1;100;
R_DNVRng_KSCYng;DNVRng;KSCYng;1;100;
R_DNVRng_SNVAng;DNVRng;SNVAng;1;100;
R_DNVRng_STTLng;DNVRng;STTLng;1;100;
R_HSTNng_KSCYng;HSTNng;KSCYng;1;100;
R_HSTNng_LOSAng;HSTNng;LOSAng;1;100;
R_IPLSng_KSCYng;IPLSng;KSCYng;1;100;
R_LOSAng_SNVAng;LOSAng;SNVAng;1;100;
R_NYCMng_WASHng;NYCMng;WASHng;1;100;
R_SNVAng_STTLng;SNVAng;STTLng;1;100;
