name;lat;long;capacity;availability;cost;
ATLAM5;-84.3833;33.75;22542;0.99;14;
ATLAng;-85.5;34.5;15345;0.99;25;
CHINng;-87.6167;41.8333;26512;0.99;15;
DNVRng;-105;40.75;25616;0.99;30;
HSTNng;-95.517364;29.770031;29198;0.99;24;
IPLSng;-86.159535;39.780622;22006;0.99;27;
KSCYng;-96.596704;38.961694;11012;0.99;25;
LOSAng;-118.25;34.05;23956;0.99;22;
NYCMng;-73.9667;40.7833;13959;0.99;15;
SNVAng;-122.02553;37.38575;15383;0.99;39;
STTLng;-122.3;47.6;14663;0.99;27;
WASHng;-77.026842;38.897303;19298;0.99;34;
