name;lat;long;capacity;availability;cost;
ATLAM5;-84.3833;33.75;21907;0.757;19;
ATLAng;-85.5;34.5;23061;0.745;13;
CHINng;-87.6167;41.8333;29514;0.777;19;
DNVRng;-105;40.75;12858;0.922;16;
HSTNng;-95.517364;29.770031;30430;0.783;39;
IPLSng;-86.159535;39.780622;27628;0.619;22;
KSCYng;-96.596704;38.961694;30416;0.825;38;
LOSAng;-118.25;34.05;22371;0.839;21;
NYCMng;-73.9667;40.7833;15921;0.973;11;
SNVAng;-122.02553;37.38575;24184;0.792;42;
STTLng;-122.3;47.6;21332;0.852;36;
WASHng;-77.026842;38.897303;14548;0.846;14;
