	time		ub		lb		gap		tree size		lazy const		cuts		sep time	
instance	ORIGINAL	REINFORCE	ORIGINAL2	REINFORCE3	ORIGINAL4	REINFORCE5	ORIGINAL6	REINFORCE7	ORIGINAL8	REINFORCE9	ORIGINAL10	REINFORCE11	ORIGINAL12	REINFORCE13	ORIGINAL14	REINFORCE15
node_C_10demand_1	0.17	0.05	28926	28926	28926	28926	0.0	0.0	0	0	0	0	0	0	0.00	0.00
node_R_10demand_1	0.24	0.10	18461	18461	18459.2	18461	0.0	0.0	0	0	94	83	0	0	0.00	0.00
node_U_10demand_1	3600	3600	49096	48160	43267.2	45272	11.9	6.0	576367	1275501	18227	23596	0	0	98.59	4289.40
node_C_20demand_1	3600	1.92	34494	34286	32084.2	34286	7.0	0.0	891358	1942	26545	593	0	0	258.51	0.35
node_R_20demand_1	1.23	0.37	26549	26549	26547	26549	0.0	0.0	991	0	399	129	0	0	0.17	0.01
node_U_20demand_1	3600	3600	68599	62654	51052.9	53051.4	25.6	15.3	207071	631155	34531	37603	0	0	67.47	4074.47
node_C_30demand_1	3600	3600	44904	42923	37375.7	40820.8	16.8	4.9	1052818	2218184	14219	5208	0	0	451.14	944.42
node_R_30demand_1	3600	3600	39153	37385	31541.8	33377	19.4	10.7	629006	783637	17159	9290	0	0	271.98	1493.43
node_C_40demand_1	3600	3600	48269	46334	40597.3	43612.8	15.9	5.9	834637	2216026	6597	3332	0	0	440.65	1263.19
node_R_40demand_1	3600	3600	41521	42637	34067.3	35254.4	18.0	17.3	429092	615528	23182	20398	0	0	239.29	1602.64
																
